DIY_Yogyakarta
Kabupaten Kulon Progo,3401,2,-7.8266798,110.1640846,1
Kabupaten Bantul,3402,2,-7.8846111,110.3341111,1
Kabupaten Gunung Kidul,3403,2,-8.0305091,110.6168921,1
Kota Yogyakarta,3471,2,-7.797224,110.368797,1
