Pulau_Sumatra
Provinsi Aceh,11,1,4.695135,96.7493993,1
Provinsi Sumatera Utara,12,1,2.1153547,99.5450974,1
Provinsi Sumatera Barat,13,1,-0.7399397,100.8000051,1
Provinsi Riau,4,1,0.2933469,101.7068294,1
Provinsi Jambi,15,1,-1.4851831,102.4380581,1
Provinsi Sumatera Selatan,16,1,-3.3194374,103.914399,1
Provinsi Bengkulu,17,1,-3.5778471,102.3463875,1
Provinsi Lampung,18,1,-4.5585849,105.4068079,1
Provinsi Kepulauan Bangka Belitung,19,1,-2.7410513,106.4405872,1
Provinsi Kepulauan Riau,21,1,3.9456514,108.1428669,1
